CR_REGION,NOMBRE_REGION,CR_TIENDA,NOMBRE_TIENDA
10CAN,Yucatan,50AUU,Jardin CUN
10CAN,Yucatan,50AV2,Panaba CUN
10CAN,Yucatan,50AVJ,Aviacion II
10CAN,Yucatan,50AWY,La Huayita MID
10CAN,Yucatan,50AX0,Paseos de Opichen MID
10CAN,Yucatan,50B2F,Faroles CUN
10CAN,Yucatan,50B3I,Pardillos CUN
10CAN,Yucatan,50B3Z,ERROR
10CAN,Yucatan,50B5B,Chiquilá CUN
10CAN,Yucatan,50BBL,Bosque Real II CUN
10CAN,Yucatan,50BBS,Bancarios MID
10CAN,Yucatan,50BCX,Coba CUN
10CAN,Yucatan,50BFL,Oxxo Bonfil
10CAN,Yucatan,50BGD,Veracruz CUN
10CAN,Yucatan,50BGJ,Comercial CUN
10CAN,Yucatan,50BGL,Bahia Real CUN
10CAN,Yucatan,50BGP,Huatulco CUN
10CAN,Yucatan,50BGR,Bahia CUN
10CAN,Yucatan,50BGT,Arrecifes CUN
10CAN,Yucatan,50BGV,Pulticub CUN
10CAN,Yucatan,50BHE,Santiago CUN
10CAN,Yucatan,50BHM,Revolucion CUN
10CAN,Yucatan,50BHX,Las Torres MID
10CAN,Yucatan,50BIQ,Bicentenario MID
10CAN,Yucatan,50BJL,San Salvador CUN
10CAN,Yucatan,50BKO,El Pocito MID
10CAN,Yucatan,50BKR,Bacalar MID
10CAN,Yucatan,50BLQ,Primavera CUN
10CAN,Yucatan,50BM2,Santa Isabel MID
10CAN,Yucatan,50BMD,Ixtepec CUN
10CAN,Yucatan,50BMH,Penal MID
10CAN,Yucatan,50BMI,Rejollada CUN
10CAN,Yucatan,50BMN,Malix CUN
10CAN,Yucatan,50BMO,Galerias CUN
10CAN,Yucatan,50BMP,Macedonia CUN
10CAN,Yucatan,50BMQ,Tixko MID
10CAN,Yucatan,50BOQ,Del Bosque CUN
10CAN,Yucatan,50BPV,Candelaria MID
10CAN,Yucatan,50BPY,Privadas CUN
10CAN,Yucatan,50BQR,Bosque Real CUN
10CAN,Yucatan,50BQT,Telmex CUN
10CAN,Yucatan,50BRC,Santa Maria MID
10CAN,Yucatan,50BS7,Espita CUN
10CAN,Yucatan,50BSS,Brisas MID
10CAN,Yucatan,50BVN,Avellana CUN
10CAN,Yucatan,50BWA,Santa Fe MID
10CAN,Yucatan,50BWH,Bellavista CUN
10CAN,Yucatan,50BWV,Resurgimiento MID
10CAN,Yucatan,50BWZ,La Herradura MID
10CAN,Yucatan,50BY2,Zaci MID
10CAN,Yucatan,50BY3,Logar CUN
10CAN,Yucatan,50BZ5,Yaxchilan CUN
10CAN,Yucatan,50C08,Ikebana MID
10CAN,Yucatan,50C0A,Telchac Puerto CUN
10CAN,Yucatan,50C0S,Brasil CUN
10CAN,Yucatan,50C15,Pescadores MID
10CAN,Yucatan,50C2Y,Baca CUN
10CAN,Yucatan,50C3H,Palmas Yucatan CUN
10CAN,Yucatan,50C3V,Centralia CUN
10CAN,Yucatan,50C58,Poxila CUN
10CAN,Yucatan,50C83,Oxtankah CUN
10CAN,Yucatan,50C9D,Paseos de Merida CUN
10CAN,Yucatan,50CA1,Resurreccion MID
10CAN,Yucatan,50CCQ,Cumbres CUN
10CAN,Yucatan,50CF1,Sky CUN
10CAN,Yucatan,50CFO,Congreso MID
10CAN,Yucatan,50CG6,Sesenta y Tres CUN
10CAN,Yucatan,50CGE,Del Caribe CUN
10CAN,Yucatan,50CHM,Emilio Seijo MID
10CAN,Yucatan,50CHZ,Chichen Itza CUN
